gs_text34,iso3,weight,age,sex
Fires,ZMB,0.00033764,5,1
Hemorrhagic fever,ZMB,0.00011131,5,1
Malaria,ZMB,0.32750328,5,1
Measles,ZMB,0.00242389,5,1
Meningitis,ZMB,0.01737299,5,1
Other Cancers,ZMB,0.01839108,5,1
Other Cardiovascular Diseases,ZMB,0.00783658,5,1
Other Defined Causes of Child Deaths,ZMB,0.06150945,5,1
Other Digestive Diseases,ZMB,0.00314292,5,1
Other Infectious Diseases,ZMB,0.09972799,5,1
Pneumonia,ZMB,0.01189716,5,1
Poisonings,ZMB,0.00301111,5,1
Road Traffic,ZMB,0.00380338,5,1
Sepsis,ZMB,0.00083794,5,1
Violent Death,ZMB,0.00004862,5,1
AIDS,ZAF,0.56510374,1,0
Bite of Venomous Animal,ZAF,0.0000115,1,0
Diarrhea/Dysentery,ZAF,0.17468054,1,0
Drowning,ZAF,0.00151993,1,0
Encephalitis,ZAF,0.00067812,1,0
Falls,ZAF,0.00015133,1,0
Fires,ZAF,0.00064841,1,0
Hemorrhagic fever,ZAF,0.00003155,1,0
Malaria,ZAF,0.00087789,1,0
Measles,ZAF,0.00712893,1,0
Meningitis,ZAF,0.0077512,1,0
Other Cancers,ZAF,0.01167907,1,0
Other Cardiovascular Diseases,ZAF,0.01526075,1,0
Other Defined Causes of Child Deaths,ZAF,0.07866399,1,0
Other Digestive Diseases,ZAF,0.0049388,1,0
Other Infectious Diseases,ZAF,0.07173425,1,0
Pneumonia,ZAF,0.05481931,1,0
Poisonings,ZAF,0.00263654,1,0
Road Traffic,ZAF,0.00098525,1,0
Sepsis,ZAF,0.00058009,1,0
Violent Death,ZAF,0.00011882,1,0
AIDS,ZAF,0.54911638,1,1
Bite of Venomous Animal,ZAF,0.00002039,1,1
Diarrhea/Dysentery,ZAF,0.20258919,1,1
Drowning,ZAF,0.00093037,1,1
Encephalitis,ZAF,0.00069794,1,1
Falls,ZAF,0.0000752,1,1
Fires,ZAF,0.00057662,1,1
Hemorrhagic fever,ZAF,0.00012744,1,1
Malaria,ZAF,0.00050962,1,1
Measles,ZAF,0.00882688,1,1
Meningitis,ZAF,0.00797801,1,1
Other Cancers,ZAF,0.01318165,1,1
Other Cardiovascular Diseases,ZAF,0.01726538,1,1
Other Defined Causes of Child Deaths,ZAF,0.06395693,1,1
Other Digestive Diseases,ZAF,0.00506987,1,1
Other Infectious Diseases,ZAF,0.07010559,1,1
Pneumonia,ZAF,0.05500409,1,1
Poisonings,ZAF,0.00240139,1,1
Road Traffic,ZAF,0.00070698,1,1
Sepsis,ZAF,0.00075709,1,1
Violent Death,ZAF,0.000103,1,1
AIDS,ZAF,0.59180091,10,0
Bite of Venomous Animal,ZAF,0.00002317,10,0
Diarrhea/Dysentery,ZAF,0.04097797,10,0
Drowning,ZAF,0.00426656,10,0
Encephalitis,ZAF,0.00243339,10,0
Falls,ZAF,0.0006322,10,0
Fires,ZAF,0.00045171,10,0
Hemorrhagic fever,ZAF,0.00004157,10,0
Malaria,ZAF,0.003043,10,0
Measles,ZAF,0.00118573,10,0
Meningitis,ZAF,0.00946769,10,0
Other Cancers,ZAF,0.02712711,10,0
Other Cardiovascular Diseases,ZAF,0.03497144,10,0
Other Defined Causes of Child Deaths,ZAF,0.12450809,10,0
Other Digestive Diseases,ZAF,0.00546721,10,0
Other Infectious Diseases,ZAF,0.12239024,10,0
Pneumonia,ZAF,0.02511487,10,0
Poisonings,ZAF,0.00107483,10,0
Road Traffic,ZAF,0.0038017,10,0
Sepsis,ZAF,0.00075894,10,0
Violent Death,ZAF,0.00046166,10,0
AIDS,ZAF,0.54033625,10,1
Bite of Venomous Animal,ZAF,0.00001861,10,1
Diarrhea/Dysentery,ZAF,0.05594047,10,1
Drowning,ZAF,0.00216485,10,1
Encephalitis,ZAF,0.00309493,10,1
Falls,ZAF,0.0002975,10,1
Fires,ZAF,0.00055114,10,1
Hemorrhagic fever,ZAF,0.00011705,10,1
Malaria,ZAF,0.00494839,10,1
Measles,ZAF,0.00148169,10,1
Meningitis,ZAF,0.0120415,10,1
Other Cancers,ZAF,0.0341649,10,1
Other Cardiovascular Diseases,ZAF,0.0603458,10,1
Other Defined Causes of Child Deaths,ZAF,0.11859936,10,1
Other Digestive Diseases,ZAF,0.00624739,10,1
Other Infectious Diseases,ZAF,0.12502673,10,1
Pneumonia,ZAF,0.02889169,10,1
Poisonings,ZAF,0.00155252,10,1
Road Traffic,ZAF,0.00305614,10,1
Sepsis,ZAF,0.00083418,10,1
Violent Death,ZAF,0.00028891,10,1
AIDS,ZAF,0.13538356,0,0
Bite of Venomous Animal,ZAF,4.88E-06,0,0
Diarrhea/Dysentery,ZAF,0.42973965,0,0
Drowning,ZAF,0.00012747,0,0
Encephalitis,ZAF,0.00097221,0,0
Falls,ZAF,0.00008136,0,0
Fires,ZAF,0.00026127,0,0
Hemorrhagic fever,ZAF,0.00001327,0,0
Malaria,ZAF,0.00037814,0,0
Measles,ZAF,0.00294155,0,0
Meningitis,ZAF,0.01263981,0,0
Other Cancers,ZAF,0.0021448,0,0
Other Cardiovascular Diseases,ZAF,0.01399796,0,0
Other Defined Causes of Child Deaths,ZAF,0.17410918,0,0
Other Digestive Diseases,ZAF,0,0,0
Other Infectious Diseases,ZAF,0.07007873,0,0
Pneumonia,ZAF,0.15539326,0,0
Poisonings,ZAF,0.00055885,0,0
Road Traffic,ZAF,0.00022658,0,0
Sepsis,ZAF,0.00086474,0,0
Violent Death,ZAF,0.00008271,0,0
AIDS,ZAF,0.15971378,0,1
Bite of Venomous Animal,ZAF,8.49E-06,0,1
Diarrhea/Dysentery,ZAF,0.44765634,0,1
Drowning,ZAF,0.00010498,0,1
Encephalitis,ZAF,0.00099117,0,1
Falls,ZAF,0.00005707,0,1
Fires,ZAF,0.00020669,0,1
Hemorrhagic fever,ZAF,0.00001965,0,1
Malaria,ZAF,0.00019851,0,1
Measles,ZAF,0.00323666,0,1
Meningitis,ZAF,0.01288625,0,1
Other Cancers,ZAF,0.00240302,0,1
Other Cardiovascular Diseases,ZAF,0.01380579,0,1
Other Defined Causes of Child Deaths,ZAF,0.14545652,0,1
Other Digestive Diseases,ZAF,0,0,1
Other Infectious Diseases,ZAF,0.06942308,0,1
Pneumonia,ZAF,0.14223484,0,1
Poisonings,ZAF,0.00043005,0,1
Road Traffic,ZAF,0.00018624,0,1
Sepsis,ZAF,0.0009045,0,1
Violent Death,ZAF,0.00007636,0,1
AIDS,ZAF,0.59282821,5,0
Bite of Venomous Animal,ZAF,0.00003766,5,0
Diarrhea/Dysentery,ZAF,0.07297383,5,0
Drowning,ZAF,0.00424319,5,0
Encephalitis,ZAF,0.00152559,5,0
Falls,ZAF,0.00030308,5,0
Fires,ZAF,0.00053328,5,0
Hemorrhagic fever,ZAF,0.00005739,5,0
Malaria,ZAF,0.00320128,5,0
Measles,ZAF,0.00366138,5,0
Meningitis,ZAF,0.01031002,5,0
Other Cancers,ZAF,0.02184902,5,0
Other Cardiovascular Diseases,ZAF,0.02591821,5,0
Other Defined Causes of Child Deaths,ZAF,0.08783066,5,0
Other Digestive Diseases,ZAF,0.00463457,5,0
Other Infectious Diseases,ZAF,0.13709979,5,0
Pneumonia,ZAF,0.02762666,5,0
Poisonings,ZAF,0.00104929,5,0
Road Traffic,ZAF,0.0037125,5,0
Sepsis,ZAF,0.00044374,5,0
Violent Death,ZAF,0.00016065,5,0
AIDS,ZAF,0.54972746,5,1
Bite of Venomous Animal,ZAF,0.00003706,5,1
Diarrhea/Dysentery,ZAF,0.09998672,5,1
Drowning,ZAF,0.00171979,5,1
Encephalitis,ZAF,0.0020249,5,1
Falls,ZAF,0.00024842,5,1
Fires,ZAF,0.00064554,5,1
Hemorrhagic fever,ZAF,0.00021442,5,1
Malaria,ZAF,0.00533322,5,1
Measles,ZAF,0.00449029,5,1
Meningitis,ZAF,0.01368472,5,1
Other Cancers,ZAF,0.02875962,5,1
Other Cardiovascular Diseases,ZAF,0.03514813,5,1
Other Defined Causes of Child Deaths,ZAF,0.08180194,5,1
Other Digestive Diseases,ZAF,0.00560089,5,1
Other Infectious Diseases,ZAF,0.13304489,5,1
Pneumonia,ZAF,0.03249352,5,1
Poisonings,ZAF,0.0009976,5,1
Road Traffic,ZAF,0.0030039,5,1
Sepsis,ZAF,0.0008311,5,1
Violent Death,ZAF,0.00020589,5,1
AIDS,YEM,0.00120542,1,0
Bite of Venomous Animal,YEM,0.0000489,1,0
Diarrhea/Dysentery,YEM,0.22127035,1,0
Drowning,YEM,0.00256729,1,0
Encephalitis,YEM,0.00684175,1,0
Falls,YEM,0.00496916,1,0
Fires,YEM,0.00054893,1,0
Hemorrhagic fever,YEM,0.00031915,1,0
Malaria,YEM,0.18810324,1,0
Measles,YEM,0.00103177,1,0
Meningitis,YEM,0.01552823,1,0
Other Cancers,YEM,0.02313861,1,0
Other Cardiovascular Diseases,YEM,0.10957375,1,0
Other Defined Causes of Child Deaths,YEM,0.21668746,1,0
Other Digestive Diseases,YEM,0.01800622,1,0
Other Infectious Diseases,YEM,0.06216753,1,0
Pneumonia,YEM,0.10825921,1,0
Poisonings,YEM,0.01169503,1,0
Road Traffic,YEM,0.00624244,1,0
Sepsis,YEM,0.00176178,1,0
Violent Death,YEM,0.00003378,1,0
AIDS,YEM,0.00109953,1,1
Bite of Venomous Animal,YEM,0.00007424,1,1
Diarrhea/Dysentery,YEM,0.19465784,1,1
Drowning,YEM,0.00127552,1,1
Encephalitis,YEM,0.00629661,1,1
Falls,YEM,0.00293311,1,1
Fires,YEM,0.00059085,1,1
Hemorrhagic fever,YEM,0.00006959,1,1
Malaria,YEM,0.23294179,1,1
Measles,YEM,0.00099176,1,1
Meningitis,YEM,0.01429115,1,1
Other Cancers,YEM,0.01998907,1,1
Other Cardiovascular Diseases,YEM,0.12452184,1,1
Other Defined Causes of Child Deaths,YEM,0.21983674,1,1
Other Digestive Diseases,YEM,0.01325362,1,1
Other Infectious Diseases,YEM,0.05532266,1,1
Pneumonia,YEM,0.09600942,1,1
Poisonings,YEM,0.01010733,1,1
Road Traffic,YEM,0.0042962,1,1
Sepsis,YEM,0.0014181,1,1
Violent Death,YEM,0.000023,1,1
AIDS,YEM,0.00143105,10,0
Bite of Venomous Animal,YEM,0.00010336,10,0
Diarrhea/Dysentery,YEM,0.02242529,10,0
Drowning,YEM,0.00344861,10,0
Encephalitis,YEM,0.00427485,10,0
Falls,YEM,0.00451963,10,0
Fires,YEM,0.00038124,10,0
Hemorrhagic fever,YEM,0.00023638,10,0
Malaria,YEM,0.14669941,10,0
Measles,YEM,0.00017423,10,0
Meningitis,YEM,0.01220467,10,0
Other Cancers,YEM,0.08533853,10,0
Other Cardiovascular Diseases,YEM,0.16613742,10,0
Other Defined Causes of Child Deaths,YEM,0.17076783,10,0
Other Digestive Diseases,YEM,0.01976939,10,0
Other Infectious Diseases,YEM,0.08363813,10,0
Pneumonia,YEM,0.25290971,10,0
Poisonings,YEM,0.01092643,10,0
Road Traffic,YEM,0.01308449,10,0
Sepsis,YEM,0.00143376,10,0
Violent Death,YEM,0.00009559,10,0
AIDS,YEM,0.00111769,10,1
